DateStart,DateEnd,Interval Days,GeoName,Keyword1_my car * stolen+bus stolen+truck stolen+report * stolen car+find stolen car
2012-01-01,2018-12-31,2557,Atlanta GA,63
2012-01-01,2018-12-31,2557,Austin TX,57
2012-01-01,2018-12-31,2557,Baltimore MD,45
2012-01-01,2018-12-31,2557,"Billings, MT",44
2012-01-01,2018-12-31,2557,Boston MA-Manchester NH,31
2012-01-01,2018-12-31,2557,Charlotte NC,51
2012-01-01,2018-12-31,2557,Chicago IL,51
2012-01-01,2018-12-31,2557,Cleveland-Akron (Canton) OH,40
2012-01-01,2018-12-31,2557,Columbus OH,45
2012-01-01,2018-12-31,2557,Dallas-Ft. Worth TX,69
2012-01-01,2018-12-31,2557,Denver CO,55
2012-01-01,2018-12-31,2557,Detroit MI,53
2012-01-01,2018-12-31,2557,Fresno-Visalia CA,85
2012-01-01,2018-12-31,2557,Houston TX,82
2012-01-01,2018-12-31,2557,Indianapolis IN,46
2012-01-01,2018-12-31,2557,Kansas City MO,71
2012-01-01,2018-12-31,2557,Las Vegas NV,99
2012-01-01,2018-12-31,2557,Los Angeles CA,74
2012-01-01,2018-12-31,2557,Louisville KY,66
2012-01-01,2018-12-31,2557,Miami-Ft. Lauderdale FL,56
2012-01-01,2018-12-31,2557,Milwaukee WI,50
2012-01-01,2018-12-31,2557,Minneapolis-St. Paul MN,42
2012-01-01,2018-12-31,2557,Nashville TN,50
2012-01-01,2018-12-31,2557,New York NY,38
2012-01-01,2018-12-31,2557,Norfolk-Portsmouth-Newport News VA,42
2012-01-01,2018-12-31,2557,Oklahoma City OK,67
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,48
2012-01-01,2018-12-31,2557,Philadelphia PA,41
2012-01-01,2018-12-31,2557,Phoenix AZ,62
2012-01-01,2018-12-31,2557,Portland OR,55
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,41
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,100
2012-01-01,2018-12-31,2557,Salt Lake City UT,43
2012-01-01,2018-12-31,2557,San Antonio TX,68
2012-01-01,2018-12-31,2557,San Diego CA,76
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,68
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,76
2012-01-01,2018-12-31,2557,Springfield MO,80
2012-01-01,2018-12-31,2557,St. Louis MO,59
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,52
2012-01-01,2018-12-31,2557,Tulsa OK,92
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),37
