GeoName,Keyword1_my * stolen+burglary-car-turck-bus
Albany-Schenectady-Troy NY,50.04
Albuquerque-Santa Fe NM,81.28
Atlanta GA,69.68
Austin TX,64.31
Baltimore MD,61.42
Birmingham AL,64.37
Boston MA-Manchester NH,51.14
Buffalo NY,52.87
Champaign & Springfield-Decatur IL,55.25
Charlotte NC,61.01
Chicago IL,63.79
Cincinnati OH,59.31
Cleveland-Akron (Canton) OH,56.87
Colorado Springs-Pueblo CO,75.55
Columbia SC,69.91
Columbus OH,60.86
Dallas-Ft. Worth TX,70.54
Dayton OH,54.86
Denver CO,66.77
Des Moines-Ames IA,50.98
Detroit MI,59.71
Fresno-Visalia CA,97.05
Grand Rapids-Kalamazoo-Battle Creek MI,55.68
Greensboro-High Point-Winston Salem NC,58.27
Greenville-Spartanburg SC-Asheville NC-Anderson SC,62.7
Harlingen-Weslaco-Brownsville-McAllen TX,67.47
Harrisburg-Lancaster-Lebanon-York PA,50.0
Hartford & New Haven CT,55.79
Honolulu HI,71.02
Houston TX,78.07
Indianapolis IN,69.73
Jacksonville FL,65.83
Kansas City MO,67.39
Knoxville TN,66.14
Las Vegas NV,99.12
Lexington KY,65.95
Little Rock-Pine Bluff AR,73.45
Los Angeles CA,84.82
Louisville KY,63.16
Memphis TN,72.62
Miami-Ft. Lauderdale FL,74.77
Milwaukee WI,53.99
Minneapolis-St. Paul MN,54.63
Mobile AL-Pensacola (Ft. Walton Beach) FL,66.12
Nashville TN,59.01
New Orleans LA,73.23
New York NY,58.97
Norfolk-Portsmouth-Newport News VA,60.41
Oklahoma City OK,73.81
Omaha NE,56.57
Orlando-Daytona Beach-Melbourne FL,70.24
Philadelphia PA,60.38
Phoenix AZ,77.96
Pittsburgh PA,48.44
Portland OR,56.59
Providence RI-New Bedford MA,62.4
Raleigh-Durham (Fayetteville) NC,57.5
Richmond-Petersburg VA,58.79
Sacramento-Stockton-Modesto CA,90.85
Salt Lake City UT,66.88
San Antonio TX,84.63
San Diego CA,76.22
San Francisco-Oakland-San Jose CA,74.42
Seattle-Tacoma WA,77.48
Spokane WA,67.72
Springfield MO,67.0
St. Louis MO,63.33
Tampa-St. Petersburg (Sarasota) FL,65.6
Tucson (Sierra Vista) AZ,75.6
Tulsa OK,67.68
Waco-Temple-Bryan TX,70.33
Washington DC (Hagerstown MD),52.75
West Palm Beach-Ft. Pierce FL,63.18
Wichita-Hutchinson KS,71.49
