GeoName,Keyword1_ my * stolen+burglary-car-turck-bus
Albany-Schenectady-Troy NY,43
Albuquerque-Santa Fe NM,68
Atlanta GA,58
Austin TX,55
Bakersfield CA,100
Baltimore MD,56
Baton Rouge LA,54
Birmingham AL,55
Boston MA-Manchester NH,42
Buffalo NY,49
Champaign & Springfield-Decatur IL,45
Charleston SC,51
Charleston-Huntington WV,60
Charlotte NC,50
Chattanooga TN,66
Chicago IL,53
Cincinnati OH,50
Cleveland-Akron (Canton) OH,48
Colorado Springs-Pueblo CO,64
Columbia SC,54
Columbus OH,54
Dallas-Ft. Worth TX,59
Dayton OH,45
Denver CO,56
Des Moines-Ames IA,41
Detroit MI,49
El Paso TX,58
Eugene OR,53
Fresno-Visalia CA,79
Ft. Myers-Naples FL,43
Grand Rapids-Kalamazoo-Battle Creek MI,46
Greensboro-High Point-Winston Salem NC,47
Greenville-Spartanburg SC-Asheville NC-Anderson SC,48
Harlingen-Weslaco-Brownsville-McAllen TX,59
Harrisburg-Lancaster-Lebanon-York PA,43
Hartford & New Haven CT,44
Honolulu HI,60
Houston TX,67
Huntsville-Decatur (Florence) AL,48
Indianapolis IN,59
Jackson MS,52
Jacksonville FL,61
Kansas City MO,53
Knoxville TN,57
Lafayette LA,64
Las Vegas NV,84
Lexington KY,55
Little Rock-Pine Bluff AR,66
Los Angeles CA,72
Louisville KY,55
Memphis TN,62
Miami-Ft. Lauderdale FL,65
Milwaukee WI,46
Minneapolis-St. Paul MN,44
Mobile AL-Pensacola (Ft. Walton Beach) FL,62
Monterey-Salinas CA,61
Nashville TN,51
New Orleans LA,62
New York NY,49
Norfolk-Portsmouth-Newport News VA,50
Oklahoma City OK,64
Omaha NE,44
Orlando-Daytona Beach-Melbourne FL,58
Philadelphia PA,51
Phoenix AZ,66
Pittsburgh PA,41
Portland OR,47
Providence RI-New Bedford MA,48
Raleigh-Durham (Fayetteville) NC,47
Richmond-Petersburg VA,51
Roanoke-Lynchburg VA,26
Rochester NY,43
Sacramento-Stockton-Modesto CA,78
Salt Lake City UT,60
San Antonio TX,69
San Diego CA,64
San Francisco-Oakland-San Jose CA,60
Savannah GA,50
Seattle-Tacoma WA,64
South Bend-Elkhart IN,60
Spokane WA,57
Springfield MO,54
St. Louis MO,52
Syracuse NY,37
Tampa-St. Petersburg (Sarasota) FL,58
Toledo OH,41
Tucson (Sierra Vista) AZ,65
Tulsa OK,64
Waco-Temple-Bryan TX,62
Washington DC (Hagerstown MD),45
West Palm Beach-Ft. Pierce FL,54
Wichita-Hutchinson KS,60
Wilkes Barre-Scranton PA,50
